Prompt,Generation,Coherence,Musical Quality,Pop Style,BLEU,Rouge LSUM
Watchin' movies on my phone,"Watchin' movies on my phone, I don't know what it's like to be a part of your life You're the only one that can make me feel alive And you've been there for so long (I'm never gonna say goodbye)",,,,,
It's not the energy reeling,"It's not the energy reeling I don't know what to say, but you've got me in your head We're just a little bit too far away from where we left off The only thing that can be said for sure is how long it will take You'll never let go of my mind How much time has gone by? (Oh-ooh) 'Cause no one else knows What",,,,,
Tonight I'm losing my layers,"Tonight I'm losing my layers and it's just a matter of time Don't you know what to do? You're the only one who can keep me alive 'Cause we've been together for more thanin' (Oh, oh-oh)",,,,,
"Hold up, they don't love","Hold up, they don't love me 'Cause I'm the only one on my mind That's what you're supposed to be Doin' it all in your head (Oh-oh) Just a little bit more than we've been Doing this for so long",,,,,
"Hey, how did we, how","Hey, how did we, how was it supposed to be? 'Cause I don't know what you're talking about It's just a matter of time You got me on my mind (I'm not the only one) Oh-huh!",,,,,
We'll make a mark We'll,"We'll make a mark We'll show you what it's like to be alone You're the only one I've ever seen in my life So don't let me down, no matter how many times we go There is nothing wrong with that kind of thing To say 'bout your best friend' when he says ""I'm sorry for everything"" (Oh-oh) She said she was",,,,,
Ah yeah Ah yeah He,"Ah yeah Ah yeah He said to me 'Cause I don't know what it's like To be in love with somebody else You're the only one that you've ever known (Oh, oh-oh) And this is just a matter of time We'll wait and see if we can keep our eyes on each other",,,,,
Yeah EarDrummers Bad bitches is,"Yeah EarDrummers Bad bitches is one of my favorite songs, but I don't know what to do with it It's been a long time since we were young And when you look at me in the mirror and they say ""Oh-oh"" or “I'm nothin' like that” You're always looking for someone who will be your friend We'll never let",,,,,
Did I say something wrong?,"Did I say something wrong? Can't you tell me what it's like to live in a world without your love You're the only one that can save us All my dreams come true And we'll never be alone We've been living together all our lives for so long, but this time is too late To get out of bed and wake up every night (I'm not gonna sleep tonight)",,,,,
"Well, I had me a","Well, I had me a long time ago But now it's too late to let you go 'Cause we're in love with each other We've been friends for the past couple of years (I don't even know what that means) So just wait and see if your heart is on my mind You'll never be alone No one will ever stop us from living our lives Oh-ooh",,,,,
INSTRUMENTAL ONLY,"INSTRUMENTAL ONLY I don't know what it's like to be alone 'Cause you're the only one in my room (I've been there for a long time) You'll never let me go Oh-oh, why are we so different from each other? We all have our own unique ways of life And every single thing that can change Your mind will always keep us apart",,,,,
Don't the water grow the,"Don't the water grow the way you're supposed to do It's just a matter of time And I'm not gonna let it go 'Cause we'll never get back together again, no one will ever know We've got so many things in our heads that make us miss each other (Oh-ooh) Just keep on calling me up and saying ""Hey"" when my heart is beating",,,,,
Hold on a minute I,"Hold on a minute I don't know what it's like to be in love with someone else You're the only one who can get you out of this world So let me go back and forth And we'll see each other again (Oh, oh)",,,,,
Hey! Hey! Hey! I don't,"Hey! Hey! Hey! I don't know what it's like to be in this world You're the only one who loves me And you've been a part of my life My love is so much more than anything else (Oh, oh-oh) What if we could just let go and walk away? We'll never see each other again 'Cause nothing ever stops us from being together",,,,,
"Nah, nah, nah Cake by","Nah, nah, nah Cake by the back of my mind I don't know what it's like to live in a world where you're so far away from me (Oh-oh) You've been thinking about this all your whole life But no one ever said that we'd be friends with each other Every single day And every time they say ""I'm not going anywhere""",,,,,
I'm no superman I can't,"I'm no superman I can't believe that you're the only one You've got me on your mind It's just a matter of time, but it feels so good to be in my head 'Cause this is what we do right now (Oh-ooh)",,,,,
Everywhere is freaks and hairies,"Everywhere is freaks and hairies I don't know what it's like to be a part of your life You're the one that makes me feel so alive And when you say, ""I'm in love"" (Oh-oh) We've been friends for more than two years But we'll never get away from each other 'Cause our hearts are always on my mind The only thing",,,,,
Can you feel me when,"Can you feel me when I'm in love? It's been a long time, but we're still together We just can't get too far away from each other",,,,,
If you got something to,"If you got something to say 'Cause I don't know what it feels like It's just a matter of time You're the only one that can hold me back And we'll never be alone We've been together for so many years (I'm not sure how long) But now, my heart is beating faster than ever",,,,,
"Better Nothing, baby Nothing feels","Better Nothing, baby Nothing feels the same as it used to be It's just a matter of time And I don't know what you're thinking about You've been waiting for me all my life The only thing we can do is make sure We'll never get back together again 'Cause no one will ever let us go Oh-ooh!",,,,,
Let's get it started in,"Let's get it started in the morning, don't you know what I'm talking about? We're just a couple of miles away from where we used to be (We've never been so far apart) Let me start by saying that this is not your fault 'Cause all my friends and family are better off than they were before us And no one else would ever care for each other So",,,,,
"Oh, I was drunk, I","Oh, I was drunk, I didn't know what to say 'Cause you're the only one who's been around for a long time And all of your friends and family have told me that we'll never be together again (I'm on my way) Oh-oh! You've got no idea how it feels like this whole thing is written in stone The world has changed so fast It",,,,,
Thought I'd end up with,"Thought I'd end up with you It's been a long time in my life But now it feels like we're just too far away From the start of our lives We can't wait to see what goes on In your eyes You've never seen me before (Oh, oh-oh)",,,,,
"Down for one night, like","Down for one night, like a dream I've been dreaming of my life But it's not enough to keep me from waking up in the dark And if you don't know what we're gonna do We'll go out and see each other again 'Cause this time is so much more than just looking at your face You can tell when things are going wrong (Oh-ooh) Just look",,,,,
I poured you a glass,"I poured you a glass of wine I don't know what it's like to be in this world You're the only one who can take your heart out for me Oh, my love is so much more than we've ever known We'll never get too far from each other",,,,,
I might be anyone A,"I might be anyone A lot of people, but I don't know what it's like to live in a world where you're so far away You've been waiting for me all my life And this is the only thing that we could ever do (Oh-oh)",,,,,
"Oh yeah, yeah, yeah Oh","Oh yeah, yeah, yeah Oh I don't know what it's like to live in a world where you're the only one You've got me on your mind All of my friends have said that they'd rather be alone 'Cause we'll never see each other again (Yeah)",,,,,
"I've been hearin' symphonies Before,","I've been hearin' symphonies Before, I don't know what it's like to be in the backseat of your car When you're looking at me with a smile on my face The only thing that we can do is make our dreams come true 'Cause no one else will ever let us go We'll never see each other again (Oh-ooh) And every time",,,,,
"Get low, get-get-get low Get","Get low, get-get-get low Get high I don't know what it's like to be alone 'Cause you're the only one who can make me feel so good You've got a lot of friends in your life Who could have been better? (I'm not sure if this is true)",,,,,
"I, I couldn't level up","I, I couldn't level up 'Cause it's just a matter of time You're the only one who can make me feel like you've got nothing left to do With your hands on my chest and everything in between (Oh-oh)",,,,,
Yeah Found cigarettes in your,"Yeah Found cigarettes in your pocket, but you don't know what I'm talking about You're the one that makes me feel so good It's just a matter of time to make up my mind The only thing we can do is try and get it right We've been waiting for more than an hour And all our dreams have come true They'll never fade away But they will still be with us",,,,,
Walking in with good intentions,"Walking in with good intentions But I don't know what it's like to be alone With your hands on my shoulder And you're the only one who can keep me from falling asleep 'Cause we've been together for a long time We'll never see each other again (Yeah, yeah)",,,,,
Halos of diamonds dancing over,"Halos of diamonds dancing over the stars I don't know what it's like to live in a world where you're on your own You've been waiting for me all my life So long ago, there was no one who could stand up and say ""I'm gonna die"" The only thing that we can do is make our lives better We'll never see another day But this time will be",,,,,
Happy People I want to,Happy People I want to be with you It's been a long time since we met You're the only one who can't hold me back 'Cause my heart is beating out of control (I'm not gonna let it go),,,,,
Always running from what feels,"Always running from what feels right in my mind I don't know where to go Now it's just a matter of time When you're looking at me with your eyes wide open You'll never be alone, but we've been together for the past two or three years The only thing that makes us feel so good about each other is how far apart We both have our hearts set on fire And when",,,,,
I was feeling nostalgic for,"I was feeling nostalgic for a long time, but I don't know what it's like to be on my own You're the only one who can make me feel alive And if you've been in love with your friends and loved ones We'll never get back together again",,,,,
I felt your hand On,"I felt your hand On my shoulder And I said, ""Don't let me down"" 'Cause you're the only one who knows what's gonna happen.""",,,,,
You wake up It's raining,"You wake up It's raining down on me And I don't know what to say 'Cause you're the only one You've been here for a long time (I'm not gonna let it go) My heart is beating out of my head Oh-oh, why are we so far apart? We were born and raised in New York City There was nothing that could be done To save us",,,,,
"Give me a second I,","Give me a second I, don't know what it's like to be alone You're the one you've been waiting for My heart is running out of time (I'm on my way) We'll never see each other again The only thing we can do right now Is there something in our world that makes us feel so alive? And if nothing else will ever change Our hearts are filled with",,,,,
I'm in awe of what,"I'm in awe of what you've done to me, but I don't know if it's right or wrong You're the only one who knows where we go from here We'll never see each other again",,,,,
We cut the legs off,"We cut the legs off of me I can't tell you what it's like to be a man You're in love with all your friends We've been together for more than three years And we'll never see each other again, no one will ever know The only thing that matters is just how much time has gone by Oh-ooh!",,,,,
"Every day, you remind me","Every day, you remind me of what it's like to be alone You're the only one that I can't help but wonder Why are we so much different? And why is there such a big difference between us and our friends We've been together for more than two or three years The same thing has happened in my life So many times have gone too far (I'll never forget) But",,,,,
There was a time I,"There was a time I don't know what it's like to be in this world You're the only one you've ever seen There were times when we looked at each other and thought, ""I'm not here yet"" But now there are so many people who say they'll never see me again 'Cause after all these years of waiting for us To come back together And make sure that",,,,,
Blow the smoke away I,"Blow the smoke away I don't know what it's like to be in a place where you're nothin' You've got your hands on my shoulder, but no one is ever gonna let me go 'Cause there are so many things that we could never do without us All of our lives have been made for each other And every time somebody says ""Oh-oh"" and they say",,,,,
I remember when we were,"I remember when we were young, it was just a matter of time And I don't know what's going on in my head But you're the only one who knows how to make your dreams come true",,,,,
Oh my god... Jump! Welcome,"Oh my god... Jump! Welcome to the world, I've been here for a long time And now it's all over again So you can see me in your eyes 'Cause we don't know what is going on We're gonna go out and play with each other (Yeah) All of our friends will be gone but they'll never find another way To get away from this hell-bent",,,,,
I know that we are,"I know that we are the only ones I've been around for a long time And it's hard to tell when you're with me You can't help but think of us as friends We'll never be together again 'Cause this is so much more than just one thing So many times in my life (Oh, oh) But up and say ""Come on babe"" Oh-ooh",,,,,
Zero dark thirty All the,"Zero dark thirty All the time I've been waiting for you There's no one else in my life The only thing that we can't do is to get away from us We're not gonna let go of each other No matter how long it goes, there will never be another One day they'll come back and say 'bout You got me on your mind' (Oh-ooh)",,,,,
"I've been to Paris, made","I've been to Paris, made my dreams come true 'Cause I don't know where you're coming from But it's all just a matter of time You can see me in your eyes And we'll never be the same No one else will ever look at each other (Oh-ooh)",,,,,
What do you mean? I'm,What do you mean? I'm looking for a way to get out of this world You're the only one that can make me feel like it's nothin' in my head (I don't even know how many times we've been together) Whoa-hoo!,,,,,
Never was a leader Never,"Never was a leader Never had anything to do with the world That's why I'm so proud of you Don't look back at me and say 'Oh-oh, we've got it in our heads We'll never be together again No one will ever stop us from loving each other",,,,,
I'm halfway gone We fought,"I'm halfway gone We fought for a little while, but I don't know what it's like to be alone You're the only one in my life And you've got me on your mind (Oh-ooh)",,,,,
Play that song The one,"Play that song The one thing you don't know is how to play It's just a little bit of fun, but it makes me feel like I've been in the wrong place for so long You're never gonna let go (Oh-ooh) 'Cause nobody knows what we'll ever be Doin' with your hands on my chest Every time someone says ""I'm going crazy""",,,,,
Climb on board We'll go,"Climb on board We'll go back to where we were in the early '90s But I don't know if it's true or not, but you've been here for a long time And all of your friends and family have said that they'd rather be with me (Oh-ooh)",,,,,
"Rack it, fix it, trash","Rack it, fix it, trash It's been a long time in my life And I don't know what to do 'Cause you're the only one You've got me on your mind We'll be together for some kind of love (I'm not sure if that is true) Maybe we could just go out and play with each other But no-happenin' at all",,,,,
Moving on the floor now,"Moving on the floor now, I don't know what it's like to be living in a place where you've never been before And all of my friends and strangers have told me that we're not going away 'Cause our lives are so different from each other We can get along without falling for one another (Oh-ooh)",,,,,
You don't have my number,"You don't have my number, but I know that you're the only one Who knows what to do with me? It's just a matter of time (I'm not sure how long it will take) 'Cause we'll never be alone in this world We've been together for more than two hundred years And each and every day feels so different You can feel like your heart is beating out",,,,,
So tell me why Why,"So tell me why Why is it so hard for you? And I don't know what to do With all of the things that we've been through So let's take a look back and say, ""You're my friend"" (Oh-ooh)",,,,,
How can you wait in,"How can you wait in the morning? I don't know what it's like to be a part of your life You've been there for so long And now we're on our way To make sure that this is all right We'll never get back together again 'Cause no one will ever let me go All my friends and family are gone (Oh-oh, yeah) My heart goes out",,,,,
Even though we both know,"Even though we both know each other, it's just a matter of time And I don't want to be alone You're the one who makes me feel like you've been around for so long Whoa-happin' all your love?",,,,,
Standing in the cold in,"Standing in the cold in front of me, I don't know what it's like to be alive When you're on your own You've been here for a long time And we'll never get back together 'Cause no one will ever let us down The only thing that matters is our love (Oh-oh) We just wanna go out and dance with each other Every single night or every day",,,,,
"Get a little closer, let","Get a little closer, let's see what we're looking for You'll be the one to make me feel like I'm in love with you Don't wanna go out and say 'bout it all off my mind' (Oh-ooh) The only thing that matters right now is how much time has been spent on us We've got so many different ways of thinking about each other",,,,,
We lost ourselves inside a,"We lost ourselves inside a world that we've never seen before We don't know what it's like to be in the same place When you look back at your face and say, ""You're so beautiful.""",,,,,
How did we get here?,"How did we get here? I don't know what it feels like to be in a place where you've never been There's nothing wrong with that kind of love You're the only one who can make me feel this way Every single night, every day We'll go out and meet each other (I'm on my own) 'Cause there are so many times when your heart is cold And",,,,,
"It's early morning, the sun","It's early morning, the sun is setting in my head And I don't know what you're thinking about me 'Cause it feels so good to be a part of your life You've been here for more than 30 years (I'm never gonna say goodbye) So come and see if we can get our hands on each other We'll make sure that no one gets hurtin' at all",,,,,
"Missing you, missing you Missing","Missing you, missing you Missing me I don't know what it's like to be alone You're the only one on my mind (I'm just a little bit too far away from home)",,,,,
"Giving up, giving in Don't","Giving up, giving in Don't know what it's like to be a part of your life You're the one who makes you feel alive And I've been thinking about myself for years now So let me go and see if we can make this dream come true!",,,,,
Let me tell you a,"Let me tell you a little history, let's go back to the days when we were young And I don't even know what it was like To be alone with all your friends and loved ones You're just one step away from our lives We've been living in this world for so long The only thing that matters right now is how much time has gone by (Oh-ooh) Let",,,,,
When routine bites hard and,"When routine bites hard and you don't know what it's like to be in the same place I've been waiting for a long time, but my heart is beating out of control And now we're on our own (I'm not too far from home) So let me go!",,,,,
I feel the night explode,"I feel the night explode in my head, I don't know what it's like to be alone You've got a feeling that you're never gonna let go All of your friends and family are calling me up And they say ""Oh-oh"" (Yeah) 'Cause we all love each other Love is so much more than just talking about one another We can make our own dreams come true",,,,,
"(I bet, I bet my","(I bet, I bet my heart won't let you down) 'Cause that's what it feels like to be in your life You're the only one who can take care of me Your love is so much more than we've ever known We'll never get too far from each other But our hearts are always on fire And every single day has been a long time (Oh-ooh",,,,,
She got a body like,"She got a body like that, but I don't know what to do If you're the only one in your life That's how it feels right now And we'll never be together again 'Cause this is so much more than just me and all of my friends We've been with each other for quite some time (I'm not sure if they ever met) But these days are far away",,,,,
"Hey, boy, stop pacing 'round","Hey, boy, stop pacing 'round Don't you know what I'm doing? It's just a matter of time for me to let it go Oh-ooh You're the only one in my life right now (I've been waiting all night) And your love is so much more than we could ever hope We'll never be together again So come on and save us from each other",,,,,
I must be the kings,"I must be the kings of my dreams, but I don't know what it's like to live in a world where no one can get away from me If you look at your eyes and say ""You're not alone"" (Oh-oh) 'Cause we've been together for so long We'll never see each other again,"" he said. “The only thing that will change is",,,,,
"Whoa-oh, whoa-oh Whoa-oh, whoa-oh (Vengaboys","Whoa-oh, whoa-oh Whoa-oh, whoa-oh (Vengaboys) Don't you know that I'm the only one?",,,,,
"You, with your words like","You, with your words like you've never heard before You're the only one who cares about me And I don't know what to say But it's not my fault (I'm sorry) Your love is so much more than we could ever have Been together for a long time A couple years ago We were just two weeks away from each other 'Cause there was always something in between us and",,,,,
Walking outside labyrinthian Over cracks,"Walking outside labyrinthian Over cracks in my head I don't know what it's like to be a part of your life You're not the only one, but you've been with me for more than half an hour Your eyes are wide open so that they can see The world is far away from where we were before We could just go out and do our own thing 'Cause there was no",,,,,
In the salsify mains of,"In the salsify mains of my soul I can't tell you what it's like to be in love with someone else You're not gonna let me down 'Cause we've been together for a long time We'll never see each other again, no one will ever close our eyes The only thing that really matters is how many people come and go And who knows where they are? Who",,,,,
I'm thirty-something going on thirteen,"I'm thirty-something going on thirteen 'Cause I don't know what it's like to be in the same place as you've been for a long time (Yeah, yeah)",,,,,
"Hush, now let's go quiet","Hush, now let's go quiet 'Cause I don't know what to do Now that you've got me on your mind You're the only one in my life (I'm not a fan of it) So if we can get away from each other We'll all be together again Oh-ohhoo!",,,,,
Oooh Cool yourself down I,"Oooh Cool yourself down I don't know what it's like to be a part of your life But you're the only one who can keep me in my head 'Cause we've been together for so long We'll never see each other again (Oh, oh)",,,,,
"Alright, come close Let me","Alright, come close Let me show you what I've got to say We'll be together for the first time 'Cause we can't get away from each other Right now it's just a matter of keeping up and running Just keep your eyes on one another And let us know that our love will never last Oh-ooh!",,,,,
Whoah-oh Whoah-oh Whoah-oh Whoah I'm,"Whoah-oh Whoah-oh Whoah-oh Whoah I'm supposed to be, but it's just a matter of time You're the one that makes me feel like you've been on my mind for years (I don't know how long) We'll never see each other again How can we ever get together?",,,,,
Oh it's a long way,"Oh it's a long way to go 'Cause I don't know what you're talking about Oh yeah, this is the kind of thing that we've been waiting for You and me (I'm so sorry) We'll be back together again next time",,,,,
Verse 1: Can't cope with,"Verse 1: Can't cope with the pain I've been feeling in my head for a long time And now it's too late to let go We'll be fine, but we're not going out of our way 'Cause no one will ever stop us from doing what they want You know that this is all about me (Oh-ooh) But if you look at your face and",,,,,
Mi and di mandem We,Mi and di mandem We don't know what it's like to be a part of your life But you're not the only one I've been in love with You are my best friend And we'll never get back together 'Cause this is so much more than just me (Momma),,,,,
I fell by the wayside,"I fell by the wayside, I tried to find a way out of my head But it wasn't enough To keep me from falling in love with someone else 'Cause that's not what you're looking for (Oh-oh)",,,,,
What'll it be now mister,"What'll it be now misterin' with me? I don't know what's going on in my head But you're the only one who knows how to go 'Cause this is just a matter of time and we've been together for so long Oh, oh-ohhuh",,,,,
"Come with me baby, give","Come with me baby, give it a try 'Cause I don't want to be alone You're the only one who knows what's going on in your life And you know that we'll never let go of our lives We've been together for after each other (Oh-oh)",,,,,
My head is spinnin' around,"My head is spinnin' around me, but I don't know what it's like to be a part of my life You're the only one that you've ever known My eyes are wide open and we'll never see each other again (I'm not sure if this will last forever)",,,,,
"'Cause you're a sky, 'cause","'Cause you're a sky, 'cause I don't know what it's like to live in the same place You've been on my mind for some time now (I'm not sure if this will ever change) So go ahead and make me feel good again And we'll never get too far from each other",,,,,
"Oho, oho, oho, oho, oho","Oho, oho, oho, oho, oho I don't know what it's like to be alone on your own You're the only one that can hold me back But you've got my mind set up in a different place And all of this is so much more than we ever thought We'll never see each other again",,,,,
You touch me and it's,"You touch me and it's like a dream But I don't know what to do When you're in the middle of your life You say, ""I'll never let this go"" 'Cause nothing will ever change Your love is so much more than just one thing We've been together for overa thousand years And all our lives have changed The way we look at each other Every single time",,,,,
"I'm good, I'm good, I'm","I'm good, I'm good, I'm what you want me to be You're the only one that can't get away With your eyes wide open and there's no doubt in my mind It feels like we've been together for a long time We'll never go out of our way 'Cause nothing will ever stop us from loving each other (Oh-oh) A little bit more than",,,,,
It was great at the,"It was great at the time, but I still don't know what it's like to be a part of my life It felt so good when we were together And now you're in love with me You've been looking for someone who can make your dreams come true (Oh-ooh)",,,,,
"Your eyes, so crisp, so","Your eyes, so crisp, so bright I can't tell you what it's like to be alone You're the only one in this room with your hands on My heart is beating out of control All my friends are calling me 'bout a million times' (Oh-ooh)",,,,,
More than just a dream,"More than just a dream I don't know what it's like to be with You're the only one in your life And you've got me on my mind A little bit too many times, but we'll never get enough of each other We can make our dreams come true (I'm not gonna do this again)",,,,,
I'm not a hopeless romantic,"I'm not a hopeless romantic, I don't know what it's like to be in love with another girl You're the only one that can make me feel so good And you've been my friend for more than two years (Oh-oh)",,,,,
Do you get the feeling,"Do you get the feeling? I don't know what it's like to be a part of your life You're in love with me, and we've been together for more than two years And this is not my fault (I'm sorry) But no one will ever say 'bout every single time We'll never see each other again The only thing that can stop us from falling apart So",,,,,
Stepping out at the lights,"Stepping out at the lights, I don't know what it's like to be alone When you're in love with someone else You've been a part of my life for quite some time (I'm not even close enough) It feels so much more than just getting up and moving on your own Take me one step closer And we'll never get too far from each other The only thing that",,,,,
I've been tryin' to keep,"I've been tryin' to keep my eyes on you, but I don't know what it's like To be in love with someone else You're the only one that can get me out of your head 'Cause this is so much more than we could ever have Been a little bit too late (Oh-ooh) We'll never go back and see each other again And every time",,,,,
"Girl, tell me what you're","Girl, tell me what you're gonna do 'Cause I don't want to be the only girl in your life So let's take a look back and see if we can get it right We've been talking about this for years now but no one has ever heard of us (Oh-oh) She said she'd never say ""I'm not going anywhere"" But her voice was so loud",,,,,
You say love is messed,"You say love is messed up, but you don't know what it's like to be in the middle of my life I've been thinking about this for a long time But no one has ever told me that we're not together We'll never see each other again",,,,,
I know that you say,"I know that you say to me, 'Cause I don't wanna do it for the rest of my life It's been a long time since we were together We're in love with each other Every day and every night The sun is shining down on us And all our friends are just like one another You'll never be alone With your eyes wide open (You can see through this lens) But",,,,,
There's a love between us,"There's a love between us And I don't know where you're going to go 'Cause we've been together for the last couple of years (I'm not gonna be alone) But when it gets too late, no one will ever let me down The only thing that matters is how far apart We'll never see each other again Whoa-huh!",,,,,
"If you want my future,","If you want my future, I don't know what it's like to be a part of your life You're the only thing that keeps me from waking up 'Cause we've got so many things on our mind So much more than just looking at each other and saying ""I'm not in love"" (Oh-ooh) No one else will ever come close To find someone who can",,,,,
"Oh, I know why you're","Oh, I know why you're so close to me? It's been a long time since we met (I don't wanna be the only one) We were just two weeks away from each other",,,,,
The sun is going down,"The sun is going down in the sky And I don't know what it's gonna feel like When you look back at me and say, ""Oh-ooh"" You've been waiting for a long time to come home We'll never be together again 'Cause we're so much closer Than ever before.""",,,,,
My baby loves me My,"My baby loves me My heart is beating like a beat, but I don't know what to do with it So let's go ahead and see if we can keep this together We'll be there for the rest of my life (Oh-ooh)",,,,,
I'm at a party I,"I'm at a party I don't know what it's like to be alone You're not the only one in my life, but you've got me on your side All of this is so much more than we ever knew We'll never get back together again (Oh-ooh)",,,,,
Ask me what I did,Ask me what I did to do when we were young It's been a long time since you got your hands on my shoulder You're the only one who can take it all for granted (I don't know if this is true),,,,,
It's no fun being stuffed,"It's no fun being stuffed in the back of my mind And I don't know what to do If you look at me and say, ""I'm not a good girl"" You're looking for someone who can change your life But when it feels like we've been together all our lives We'll never be alone again 'Cause there are so many things that keep us apart So much more than",,,,,
"So I'm a complicated motherfucker,","So I'm a complicated motherfucker, don't you know? It's hard to keep up with all the things that are going on in my life And it makes me feel like we've been together for more than two or three years (Oh-ooh) But this is not your fault 'Cause no one else will ever get what they want You're never gonna let go of us",,,,,
"Lately, I've been, I've been","Lately, I've been, I've been trying to figure out what's going on in my head Why don't you say 'bout me?” “I just wanna be a part of your life You're the only one that we can get together We'll never let it go away (Oh-ohhuh) It feels so much more than anything else is ever gonna",,,,,
Darkness bring out our emotions,"Darkness bring out our emotions in a way that we don't even know It's not the same as it used to be, but I've been waiting for you all my whole life (Oh-oh)",,,,,
"People like me, we feel","People like me, we feel the same way But I don't know what you're talking about 'Cause there's no one else in this world The only thing that makes my heart sing is how it feels to be a part of your life You've been here for so long (Oh-oh) So many years have gone by And every single day has passed We'll never get back together again",,,,,
A simple band of gold,"A simple band of gold that I've been waiting for You're the only one who can't hold me back There's nothing left to say 'Cause this is what it feels like To be honest with you (I'm not a bad guy) When we were young, our love was so strong We could go out and see each other Every night And every time someone said ""Oh-oh""",,,,,
"Daddy was dumb, said that","Daddy was dumb, said that I don't know what it's like to be a part of your life You're the only one who cares about me And if you look at my face and say ""I'm in love"" (Oh-ooh) 'Cause we've been together for more than two years We'll never see each other again",,,,,
Will you ever love this,"Will you ever love this place again? I don't know what it's like to be alone You're the one who will never let me go Oh, and my heart is beating out of control (Oh-ooh)",,,,,
Wondering where to begin Loneliness,"Wondering where to begin Loneliness is the only thing I've been thinking about for a long time, but now it's all in my head (I don't know if you're with me) Worrying how many times will we ever get out of this world? We'll never be together again 'Cause our lives are so far apart from each other So much more than anything else",,,,,
"Late night, your eyes fell","Late night, your eyes fell out and I couldn't find a way to tell you What's wrong with that? You're the only one who knows what it feels like To be right in front of me (Oh-ooh) Why do we get so far from each other?""",,,,,
She just wants to be,"She just wants to be a part of my life But I don't know what you're gonna do 'Cause it's the only thing that we've ever done She said, ""I'm in love with your soul"" (Oh-oh) And then she went out and got her hands on all those things That make me feel like somebody else.""",,,,,
"Once upon a time, not","Once upon a time, not only in my life But I've been waiting for you to tell me You're the one who won't let us go 'Cause there's no way that we'll ever get out of this Love is so much more than it feels right now (Oh-huh)",,,,,
I was so high I,"I was so high I don't know what it's like to be in a place where you're the only one You've got me on my mind, oh-oh A lot of people say that this is not true 'Cause when we get too far away We'll go out and see each other again And all our friends are looking for someone who will take us down The road has been paved",,,,,
I met up with an,"I met up with an old friend and he said, 'You're the only one that I can't get away from It's just a matter of time to fall in love With your hands on my shoulder You'll never know what you've been waiting for My face will always be mine And if it ever gets too late (Oh-ooh) Just sayin' me back when we were",,,,,
My first kiss went a,"My first kiss went a long time ago And I don't know what it's like to be in love with someone else You're the only one that you've ever met (Oh-oh, oh) All of my friends have been talking about me for years But when they say ""I'm not your friend"" 'Cause we'll never get along without each other Love is so much more than",,,,,
When I look into your,"When I look into your eyes, it's hard to see You don't even know what you're looking for What the hell is going on? Is there a way in which we can get away from each other We've been living our lives all day and night And no one has ever heard of us So let me start by saying ""I'm not here anymore"" (Oh-ooh)",,,,,
"Oh, he treats me with","Oh, he treats me with the same kind of love I don't know what it's like to be in a place where no one can see You're on your own and you've been there for so long The only thing that really matters is how much time has gone by Oh-ohhuh!",,,,,
Is it still called anxiety,"Is it still called anxiety? It's just a matter of time for you to be with me I don't know what the hell is going on in my life But we're never gonna let this go, no one will ever stop us from loving each other",,,,,
Da be da be da,"Da be da be da, don't you know what it's like to lose your mind? I've been thinking about this for a long time And all of my friends have said that they would love me if we were in the same place We'd never meet each other again (I'm not even close enough) But no one is ever gonna let us go 'bout our differences' Da",,,,,
Got my head in the,"Got my head in the back of your mind I don't know what it's like to be alone Got a feeling that you've never seen before You're not gonna let me go 'Cause no one will ever say, ""I'm so lonely"" (Oh-ooh)",,,,,
Running feet Sound of seas,"Running feet Sound of seas in the sea It's been a long time since we were born And I'm not sure what to do If you don't feel it, then go ahead and let me know You'll be my best friend (Oh-oh) We're so far away from each other 'Cause no one will ever see us again The only thing that matters right now is your love for",,,,,
A scrub is a guy,"A scrub is a guy who doesn't know what it's like to be alone But I'm not the only one, but you've got me on your mind",,,,,
"Jetlag, been in a state","Jetlag, been in a state of emergency I don't know what it's like to be alone You're the only one who can get away from me And if you've got my heart on your chest (I'm not gonna lie) 'Cause there are so many things that we could never do We'd rather go out and meet each other than spend all our time together Butin'",,,,,
"Fatal, this attraction Yeah, we","Fatal, this attraction Yeah, we don't know what it's like to be alone We're in love with each other for a long time I've been thinking about all the things that make me feel so good And when you look at your eyes and say ""I'm not here"" (Oh-oh) 'Cause my heart is beating faster Than anything else You'll never let go of",,,,,
"I miss the fire, I","I miss the fire, I don't know what it's like to live in a place where you can make your dreams come true 'Cause my heart is running out of time And no one will ever tell me that we're never gonna let go We've been living our whole lives for more than two or three years and so many miles away from each other So long as they keep coming back together",,,,,
"Dearly beloved, if this love","Dearly beloved, if this love wasn't for me I'd be lying to myself 'Cause there's no one else in my life (I'm not gonna let you go) You're the only thing that can change your mind We'll never know what we've been through This is just a matter of time How long will it last?",,,,,
Where should we run to?,"Where should we run to? I don't know what's going on in my head Is it just a matter of time, or is there something wrong with the way you're looking at me 'Cause your eyes are wide open You've never seen anything like this before (Oh-oh) And no one knows where they come from We'll go out and see each other again The only thing that",,,,,
"Hey Havana, ooh na-na (Ayy)","Hey Havana, ooh na-na (Ayy) I don't know what it's like to live in a city that you've never seen You're the only one who can get away from me 'Cause there are so many people around here Who could be your friend? And if we were all alone We'd go out of town and spend some time with each other There was no way",,,,,
I took her out It,"I took her out It's been a long time, but I don't know what it feels like to be alone You're the only one that you've ever met in my life (Oh-ooh) She told me she'd never say 'bout your love' But there was no left behind Where did we go from here? We went back and forth And all of us were",,,,,
