Prompt,Generation,Coherence,Musical Quality,Pop Style
"We are, we are, we","We are, we are, we are L.A. on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The party's on, so they're headin' downtown ('Round here) Everybody's lookin' for a come up And they wanna know what you're about Me in the middle with the one I love and We're just tryna figure everything out We don't fit in well 'cause we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) L.A., mmm Drove for hours last night and we made it nowhere (Nowhere, nowhere) I see stars in your eyes when we're halfway there (All night) I'm not fazed by all them lights and flashin' cameras 'Cause with my arms around you, there's no need to care We don't fit in well, we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful, yeah Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) We are, we are, we are We are not beautiful We are, we are, we are L.A. on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The party's on, so they're headin' downtown ('Round here) Everybody's lookin' for a come up And they wanna know what you're about Me in the middle with the one I love and We're just tryna figure everything out We don't fit in well 'cause we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) L.A., mmm Drove for hours last night and we made it nowhere (Nowhere, nowhere) I see stars in your eyes when we're halfway there (All night) I'm not fazed by all them lights and flashin' cameras 'Cause with my arms around you, there's no need to care We don't fit in well, we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful, yeah Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) We are, we are, we are We are not beautiful We are, we are, we are L.A. on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The party's on, so they're headin' downtown ('Round here) Everybody's lookin' for a come up And they wanna know what you're about Me in the middle with the one I love and We're just tryna figure everything out We don't fit in well 'cause we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) L.A., mmm Drove for hours last night and we made it nowhere (Nowhere, nowhere) I see stars in your eyes when we're halfway there (All night) I'm not fazed by all them lights and flashin' cameras 'Cause with my arms around you, there's no need to care We don't fit in well, we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful, yeah Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) We are, we are, we are We are not beautiful We are, we are, we are L.A. on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The party's on, so they're headin' downtown ('Round here) Everybody's lookin' for a come up And they wanna know what you're about Me in the middle with the one I love and We're just tryna figure everything out We don't fit in well 'cause we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) L.A., mmm Drove for hours last night and we made it nowhere (Nowhere, nowhere) I see stars in your eyes when we're halfway there (All night) I'm not fazed by all them lights and flashin' cameras 'Cause with my arms around you, there's no need to care We don't fit in well, we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful, yeah Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) We are, we are, we are We are not beautiful We are, we are, we are L.A. on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The party's on, so they're headin' downtown ('Round here) Everybody's lookin' for a come up And they wanna know what you're about Me in the middle with the one I love and We're just tryna figure everything out We don't fit in well 'cause we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) L.A., mmm Drove for hours last night and we made it nowhere (Nowhere, nowhere) I see stars in your eyes when we're halfway there (All night) I'm not fazed by all them lights and flashin' cameras 'Cause with my arms around you, there's no need to care We don't fit in well, we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunning, dear, so don't ask that question here This is my only fear: that we become Beautiful people Drop top, designer clothes Front row at fashion shows ""What d'you do?"" and ""Who d'you know?"" Inside the world of beautiful people Champagne and rolled-up notes Prenups and broken homes Surrounded, but still alone Let's leave the party That's not who we are (We are, we are, we are) We are not beautiful, yeah Yeah, that's not who we are (We are, we are, we are) We are not beautiful (Beautiful) We are, we are, we are We are not beautiful",,,
"Hey Havana, ooh na-na (Ayy)","Hey Havana, ooh na-na (Ayy) Half of my heart is in Havana, ooh na-na (Ayy, ayy) He took me back to East Atlanta, na-na-na, ah Oh, but my heart is in Havana (Ayy) There's somethin' 'bout his manners (Uh-huh) Havana, ooh na-na (Uh) He didn't walk up with that ""how you doin'?"" (Uh) When he came in the room He said there's a lot of girls I can do with (Uh) But I can't without you I knew him forever in a minute (Hey) That summer night in June And papa says he got malo in him (Uh) He got me feelin' like... Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Ayy) I knew it when I met him (Ayy), I loved him when I left him Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh And then I had to tell him, I had to go Oh na-na-na-na-na (Woo) Havana, ooh na-na (Ayy, hey) Half of my heart is in Havana, ooh na-na (Ayy, ayy, uh-huh) He took me back to East Atlanta, na-na-na Oh, but my heart is in Havana (Huh) My heart is in Havana (Ayy) Havana, ooh na-na (Jeffery) Just graduated, fresh on campus, mmm Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta) Bump on her bumper like a traffic jam Hey, I was quick to pay that girl like Uncle Sam (Here you go, ayy) Back it on me (Back it up) Shawty cravin' on me, get to eatin' on me (On me) She waited on me (And what?) Shawty cakin' on me, got the bacon on me (Wait up) This is history in the makin', homie (Homie) Point blank, close range, that B (Tah, tah) If it cost a million, that's me (That's me) I was gettin' mula, baby Havana, ooh na-na (Ayy, ayy) Half of my heart is in Havana, ooh na-na (Oh, ayy, ayy, uh-huh) He took me back to East Atlanta, na-na-na (Oh, no) Oh, but my heart is in Havana (Huh) My heart is in Havana (Ayy) Havana, ooh na-na Ooh na-na, oh, na-na-na (Ooh, ooh-ooh-ooh-ooh-ooh-ooh) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, babe) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, yeah) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, babe) Take me back, back, back Hey, hey... Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey) Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey) Take me back to my Havana... Havana, ooh na-na Half of my heart is in Havana, ooh na-na (Oh, yeah) He took me back to East Atlanta, na-na-na (Ayy, ayy) Oh, but my heart is in Havana My heart is in Havana (Ayy) Havana, ooh na-na (Uh-huh) Oh, na-na-na (Oh, na, yeah) Oh, na-na-na Oh, na-na-na (No, no, no, take me back) Oh, na-na-na Havana, ooh na-na Hey Havana, ooh na-na (Ayy) Half of my heart is in Havana, ooh na-na (Ayy, ayy) He took me back to East Atlanta, na-na-na, ah Oh, but my heart is in Havana (Ayy) There's somethin' 'bout his manners (Uh-huh) Havana, ooh na-na (Uh) He didn't walk up with that ""how you doin'?"" (Uh) When he came in the room He said there's a lot of girls I can do with (Uh) But I can't without you I knew him forever in a minute (Hey) That summer night in June And papa says he got malo in him (Uh) He got me feelin' like... Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Ayy) I knew it when I met him (Ayy), I loved him when I left him Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh And then I had to tell him, I had to go Oh na-na-na-na-na (Woo) Havana, ooh na-na (Ayy, hey) Half of my heart is in Havana, ooh na-na (Ayy, ayy, uh-huh) He took me back to East Atlanta, na-na-na Oh, but my heart is in Havana (Huh) My heart is in Havana (Ayy) Havana, ooh na-na (Jeffery) Just graduated, fresh on campus, mmm Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta) Bump on her bumper like a traffic jam Hey, I was quick to pay that girl like Uncle Sam (Here you go, ayy) Back it on me (Back it up) Shawty cravin' on me, get to eatin' on me (On me) She waited on me (And what?) Shawty cakin' on me, got the bacon on me (Wait up) This is history in the makin', homie (Homie) Point blank, close range, that B (Tah, tah) If it cost a million, that's me (That's me) I was gettin' mula, baby Havana, ooh na-na (Ayy, ayy) Half of my heart is in Havana, ooh na-na (Oh, ayy, ayy, uh-huh) He took me back to East Atlanta, na-na-na (Oh, no) Oh, but my heart is in Havana (Huh) My heart is in Havana (Ayy) Havana, ooh na-na Ooh na-na, oh, na-na-na (Ooh, ooh-ooh-ooh-ooh-ooh-ooh) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, babe) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, yeah) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, babe) Take me back, back, back Hey, hey... Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey) Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey) Take me back to my Havana... Havana, ooh na-na Half of my heart is in Havana, ooh na-na (Oh, yeah) He took me back to East Atlanta, na-na-na (Ayy, ayy) Oh, but my heart is in Havana My heart is in Havana (Ayy) Havana, ooh na-na (Uh-huh) Oh, na-na-na (Oh, na, yeah) Oh, na-na-na Oh, na-na-na (No, no, no, take me back) Oh, na-na-na Havana, ooh na-na Hey Havana, ooh na-na (Ayy) Half of my heart is in Havana, ooh na-na (Ayy, ayy) He took me back to East Atlanta, na-na-na, ah Oh, but my heart is in Havana (Ayy) There's somethin' 'bout his manners (Uh-huh) Havana, ooh na-na (Uh) He didn't walk up with that ""how you doin'?"" (Uh) When he came in the room He said there's a lot of girls I can do with (Uh) But I can't without you I knew him forever in a minute (Hey) That summer night in June And papa says he got malo in him (Uh) He got me feelin' like... Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Ayy) I knew it when I met him (Ayy), I loved him when I left him Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh And then I had to tell him, I had to go Oh na-na-na-na-na (Woo) Havana, ooh na-na (Ayy, hey) Half of my heart is in Havana, ooh na-na (Ayy, ayy, uh-huh) He took me back to East Atlanta, na-na-na Oh, but my heart is in Havana (Huh) My heart is in Havana (Ayy) Havana, ooh na-na (Jeffery) Just graduated, fresh on campus, mmm Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta) Bump on her bumper like a traffic jam Hey, I was quick to pay that girl like Uncle Sam (Here you go, ayy) Back it on me (Back it up) Shawty cravin' on me, get to eatin' on me (On me) She waited on me (And what?) Shawty cakin' on me, got the bacon on me (Wait up) This is history in the makin', homie (Homie) Point blank, close range, that B (Tah, tah) If it cost a million, that's me (That's me) I was gettin' mula, baby Havana, ooh na-na (Ayy, ayy) Half of my heart is in Havana, ooh na-na (Oh, ayy, ayy, uh-huh) He took me back to East Atlanta, na-na-na (Oh, no) Oh, but my heart is in Havana (Huh) My heart is in Havana (Ayy) Havana, ooh na-na Ooh na-na, oh, na-na-na (Ooh, ooh-ooh-ooh-ooh-ooh-ooh) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, babe) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, yeah) Take me back, back, back like... Ooh na-na, oh, na-na-na (Yeah, babe) Take me back, back, back Hey, hey... Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey) Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey) Take me back to my Havana... Havana, ooh na-na Half of my heart is in Havana, ooh na-na (Oh, yeah) He took me back to East Atlanta, na-na-na (Ayy, ayy) Oh, but my heart is in Havana My heart is in Havana (Ayy) Havana, ooh na-na (Uh-huh) Oh, na-na-na (Oh, na, yeah) Oh, na-na-na Oh, na-na-na (No, no, no, take me back) Oh, na-na-na Havana, ooh na-na",,,
I see the crystal raindrops,I see the crystal raindrops fall And the beauty of it all Is when the sun comes shining through To make those rainbows in my mind When I think of you sometime And I want to spend some time with you Just the two of us We can make it if we try Just the two of us (Just the two of us) Just the two of us Building castles in the sky Just the two of us You and I We look for love no time for tears Wasted water's all that is And it don't make no flowers grow Good things might come to those who wait Not for those who wait too late We gotta go for all we know Just the two of us We can make it if we try Just the two of us (Just the two of us) Just the two of us Building them castles in the sky Just the two of us You and I I hear the crystal raindrops fall On the window down the hall And it becomes the morning dew And darling when the morning comes And I see the morning sun I want to be the one with you Just the two of us We can make it if we try Just the two of us (Just the two of us) Just the two of us Building big castles way up high Just the two of us You and I,,,
Man walking a tightrope Girl,"Man walking a tightrope Girl and her high hopes fall from the sky Change of plans, riding a cyclone Dodging a headstone, I want what's mine Right then the walls came falling A voice came calling the night it rained in LA Mirror, ask me why I don't act surprised I'm on my way One magic moment, don't be late I'm on my way Salvation, my revelation arrives on vanity plates I'm on my way Smoke smothers a hillside Blind in my mind's eye, my city's on fire One more joke lackin' a punchline Realized sci-fi, I'm in denial Right then the walls came falling A voice came calling the night it rained in your eyes Mirror, ask me why I don't act surprised I'm on my way One magic moment, don't be late I'm on my way Salvation, my revelation arrives on vanity plates We go on about nothing just to talk about something I'm on my way Yeah Whoa I'm on my way One magic moment, don't be late I'm on my way Salvation, my revelation arrives on vanity plates I'm on my way One magic moment, don't be late I'm on my way Salvation, my revelation arrives on vanity plates I'm on my way Ooh, ooh, yeah, yeah Ooh, ooh, yeah, yeah I'm on my way",,,
"He said... He said, ""I'm","He said... He said, ""I'm the devil, boy, come with me And we'll make many storms"" He offered me the universe But inside my heart there's a picture of a girl Some call love a curse, some call love a thief She's my home And she's as much apart for this broken heart But see, broken bones always seem to mend, he said I'll taste the devil's tears Drink from his soul, but I'll never give up you I'll taste the devil's tears Drink from his soul, but I'll never give up you He said, ""I'm the devil, boy Come with me and we'll break many laws"" He offered me eternal life But inside my heart there's a picture of a girl Some call love a word, some call love a thief But she's my home And she's as much apart for this broken heart But see, broken bones always seem to mend, he said I'll taste the devil's tears Drink from his soul, but I'll never give up you I'll taste the devil's tears Drink from his soul, but I'll never give up you",,,
"Ha, ha, ha Pump it","Ha, ha, ha Pump it Ha, ha, ha And pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) Turn up the radio Blast your stereo, right Ha, ha, ha Niggas wanna hate on us (Who) Niggas be envious (Who) I know why they hate on us (Why) 'Cause that so fabulous (What) I'm gonna be real on us (Come on) Nobody got nothing on us (No) Girls be all on us from London back down to the US S-S, we rockin' it (Contagious) Monkey business (Outrageous) Just confess it your girl admits that we the shit F-R-E-S-H, we fresh D-E-F, that's right we def (Rock) We definite B-E-P we reppin' it so Turn me up (Turn it up) Turn me up (Turn it up) Turn me up Come on, baby, just Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) And say (Oh, oh, oh, oh) Say (Oh, oh, oh, oh) Yo, yo Turn up the radio Blast your stereo, right now (Ha) This joint is fizzlin' It's sizzlin' right Can you check this out right here? Dude wanna hate on us (Dude) Dude need to ease on up (Dude) Dude wanna act on up But dude get shut like flavor (Shut 'em down) Chicks say she ain't down But chick backstage when we in town (Ha) She like man on drunk (Fool) She wanna hit and run (Errr) Yeah, that's the speed That's what we do, that's who we be B-L-A-C-K E-Y-E-D P to the E Then the A to the S When we play you shake your ass (Shake it, shake it) Shake it girl Make sure you don't break it girl ('Cause we gonna) Turn it up (Turn it up) Turn it up (Turn it up) Turn it up Come on baby just Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) And say (Oh, oh, oh, oh) Say (Oh, oh, oh, oh) Yo, yo Turn up the radio Blast your stereo, right now (Ha) This joint is fizzlin' It's sizzlin' right Damn (Damn) Damn (Damn) Damn (Damn) Damn (Damn) Damn (Damn) Apl.de.ap from the Philippines live and direct rockin' the scene Breakin' on down for the B-Boys and B-Girls waitin' to do their thing Pump it, louder come on Don't stop, and keep it goin' Do it, let's get it on Move it Come on, baby do it Ha La-da-dee-da-da-dee-da On the steree-aree-aree-aree-o (Ha) Let those speakers blow your mind (Blow my mind, baby) Just let it go, let it go Here we go (Ha) La-da-dee-da-da-dee-da (Come on, we here) On the radi-aree-aree-aree-o (Ha) The system's gonna feel so fine (Ha) Yeah, yeah, yeah (Ha), yeah, yeah Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) Pump it (Louder) And say (Oh, oh, oh) Say (Oh, oh, oh) Yo, yo Turn up the radio Blast your stereo, right now (ha) This joint is fizzlin' It's sizzlin' right",,,
I've never had such a,"I've never had such a fright I gasped on election night The whole world thinks we're insane Ididn'tsleep a winkthat night I met Jackson on anearly flight We both said ""Goodbye, L.A."" Under the supermoon Under the supermoon Under the supermoon I closed my eyes I knew I wasn't home 'Round and 'round on the radio All the way to Cit Soleil I was thinking about my friends Our suffering, it never ends But today, I cannot complain Under the supermoon (Umbala) Under the supermoon (Umbala) Under the supermoon (Umbala) I came back to life Under the supermoon (Umbala) Under the supermoon (Umbala) Under the supermoon (Umbala) You were out on your hustle I was up on my throne I am down in the jungle Lookin' for a mambo Everyone's on the hustle No one wants to be alone I am down in the jungle Lookin' for a phone The whole world thinks we're insane Sometimes you gotta flow Let God, and just let go The whole world thinks that you're strange Tap-tap to the future Tap-tap to the grave Tap-tap to the teachers Baby, we're all insane Under the supermoon (Umbala) Under the supermoon (Umbala) I came back to life Under the supermoon (Umbala) Under the supermoon (Umbala) Under the supermoon (Umbala) You were out on your hustle I was up on my throne I was down in the jungle Bumped into a mambo Everyone's on the hustle No one wants to be alone I am down in the jungle Lookin' for a phone NA Tap-tap to the future Tap-tap to the grave Tap-tap to the teachers Brother, we're all the same",,,
I'm really on the ropes,"I'm really on the ropes this time I've been fighting all my life for you I never should've said goodbye But maybe that's what stupid people do 'Cause you gave me peace And I wasted it I'm here to admit That you were my medicine Oh, I couldn't quit And I'm down on my knees again Asking for nothing Thank you for the happiest year of my life Thank you for the happiest year of my life, ooh Ooh, ooh, ooh Don't think I could forgive myself I'm sorry for the ways that I used you And I could care less right now But you know, you hurt me pretty good too Yeah, we made each other bleed And we tasted it I'm here to admit That you were my medicine Oh, love, I couldn't quit And I'm down on my knees again Thank you for the happiest year of my life Oh, thank you for the happiest year of my life, ooh So wake me up when they build that time machine I want to go back Wake me up when you were sleeping next to me 'Cause I really loved you, ooh Thank you for the happiest year of my life Thank you for the happiest year of my life ooh Thank you for the happiest year of my life, yeah Thank you for the happiest year of my life Thank you for the happiest year of my life",,,
Deep dark lines hanging over,Deep dark lines hanging over me Waiting till the light comes on Late nights seeping up my energy Fighting till the break of dawn Don't you see My hand reaches out for the stars Don't you see You and I were made for this and we were made to dream Cold black smoke filling up my lungs But somehow I keep breathing on Maybe you can stop what is killing me Baby you're the only one Don't you see My hand reaches out for the stars Don't you see You and I were made for this and we were made to dream This is the brightest light That you will see my heart Can you still love me the same After you have seen every shade of me Will you still love me the same This is the brightest light That you will see my heart Can you still love me the same After you have seen every shade of me Will you still love me the same This is the brightest light That you will see my heart Can you still love me the same After you have seen every shade of me Will you still love me the same,,,
I've been trying to stand,"I've been trying to stand up But with you I keep falling With you I keep falling Underwater,can'tget up Cause withyou I keep falling With you Ikeep falling (You got me) (You got me) (You got me) (You got me) I've been thinking about forever Got me living on the river With you, seems like I'm never sober You're the devil on my shoulder I've been trying to stand up But with you I keep falling With you I keep falling Underwater, can't get up Cause with you I keep falling With you I keep falling (You got me) (You got me) (You got me) (You got me) Falling for you ah-ah Falling for you ah-ah Falling for you ah-ah Falling for you ah-ah All the pain seems to crack down Its the motion watching me drown Walking but I'm moving paces One step onto every secret I've been trying to stand up But with you I keep falling With you I keep falling Underwater, can't get up Cause with you I keep falling With you I keep falling (You got me) (You got me) (You got me) (You got me) Falling for you ah-ah Falling for you ah-ah Falling for you ah-ah Falling for you ah-ah Falling for you ah-ah ah-ah",,,
I ain't hanging up this,"I ain't hanging up this time I ain't giving up tonight Even if you walk around as though you think you're right At your worst I still believe it's worth the fight I could make it all go away Tell me what you're thinking, don't delay We could still be having some sweet memories This heart still beats for you, why can't you see? Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight Stop your crying, it's alright Shut up, kiss me, hold me tight Stop pretending I'm not there When it's clear I'm not going anywhere If I'm out of sight then take another look around I'm still out there hoping to be found Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight Stop your crying, it's alright Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight I could make it all disappear You could feed me all of your fears We could end all this pain right here We could rewind all of those tears I could take it down to the floor You don't have to feel it anymore A love so real that it can't be ignored It's all over, baby blue, I'm still yours I'm still yours Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight Stop your crying, it's alright Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight I ain't hanging up this time I ain't giving up tonight Even if you walk around as though you think you're right At your worst I still believe it's worth the fight I could make it all go away Tell me what you're thinking, don't delay We could still be having some sweet memories This heart still beats for you, why can't you see? Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight Stop your crying, it's alright Shut up, kiss me, hold me tight Stop pretending I'm not there When it's clear I'm not going anywhere If I'm out of sight then take another look around I'm still out there hoping to be found Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight Stop your crying, it's alright Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight I could make it all disappear You could feed me all of your fears We could end all this pain right here We could rewind all of those tears I could take it down to the floor You don't have to feel it anymore A love so real that it can't be ignored It's all over, baby blue, I'm still yours I'm still yours Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight Stop your crying, it's alright Shut up, kiss me, hold me tight Shut up, kiss me, hold me tight",,,
Is this hard to swallow,"Is this hard to swallow You keep your thoughts by your pillow Just so you can adore them Just so we can ignore them I'd rather lead not follow I'd rather stay and not go home My moves have got so old Or so I've been told But now you've lost it all We're running out of time We've got things on our mind And things we just don't like Who do you want to see? Who do you want to be tonight? Forgetting the promises you make Is how your, your promises easily break Oh, you sit on your fence And I'll dig under it I'll count my losses And I'll count my sins I hope you've cleared your mind (2x) We were young and we were blind We ignored the warning signs How were we to know? How were we to know? We were close but still so far We grew apart and out of touch All I wanted was... All I wanted was to say... (2x)",,,
